Task Name,Status,Priority,Assignee,Due Date,Description,Tags
[ACC][P0][C-1] Fix runnable.js syntax error,Open,Urgent,Shayan,2026-05-25,"File: cloud/integrations/runnable.js | Line 3 has JSON wrapper causing syntax error. Bot command: aider: rewrite cloud/integrations/runnable.js as proper CommonJS using pattern from hunter.js. Include enabled() checkHealth() sendTaskFromACC(). Run node --check. Commit and push. | Verify: node --check cloud/integrations/runnable.js passes",ACC v2,P0,Aider
[ACC][P0][C-2] Fix /api/execute dead reference in bot.js,Open,Urgent,Shayan,2026-05-25,"File: cloud/telegram/bot.js | 1 reference to callACC('/api/execute') which returns 404. Find it and replace with /api/taskbus/task call. | Verify: every bot menu button returns a real response not 404",ACC v2,P0,Aider
[ACC][P0][C-3] Add job search: and meta: to isTaskCreate regex,Open,Urgent,Shayan,2026-05-25,"File: cloud/taskbus/telegramCommands.js | Audit confirmed these prefixes not in routing regex. Add |job search:|find jobs:|meta:|instagram:|facebook: to isTaskCreate pattern. | Verify: Send 'job search: PM in Toronto' routes to jobSearch connector",ACC v2,P0,Claude
[ACC][P0][C-4] Mount voice route in server.js,Open,Urgent,Shayan,2026-05-25,"File: cloud/server.js | voiceRoute.js exists but not mounted. Add: app.use('/api/voice' require('./connectors/voiceRoute.js')); | Verify: GET /api/voice/status returns 200",ACC v2,P0,Claude
[ACC][P0][C-5] Upgrade security secrets to 32+ chars,Open,Urgent,Shayan,2026-05-25,"Files: .env and Railway env vars | ACC_VAULT_MASTER_KEY and ACC_APPROVAL_HMAC_SECRET are both 13 chars — critically weak for AES-256-GCM. Generate: node -e 'console.log(require(crypto).randomBytes(32).toString(hex))' Run twice. Update .env and Railway. | Verify: Both keys are 64 chars. App still starts.",ACC v2,P0,Shayan
[ACC][P0][C-6] Clean data/ directory from git,Open,High,Shayan,2026-05-26,"54 session artifact files (fp_*.txt ts_*.txt sq_*.txt) committed to git. Run: git rm -r --cached data/ then echo 'data/' >> .gitignore then git add and commit. Add back only data/email-templates/. | Verify: git ls-files data/ returns only email-templates",ACC v2,P0,Claude
[ACC][P0][C-7] Remove root orphan duplicate files,Open,High,Shayan,2026-05-26,"Files: router.js server.js telegram.js taskEngine.js autoMode.js in repo root — duplicates of cloud/ versions. Review each and git rm if unused. | Verify: git ls-files | grep -v / returns only legitimate root files",ACC v2,P0,Claude
[ACC][P0][C-8] Add auth to admin endpoints,Open,Urgent,Shayan,2026-05-25,"File: cloud/server.js | /admin/dlq /admin/system /admin/audit have no auth. Add middleware: function adminAuth(req res next){ var token = req.headers['x-admin-key']; if(token !== process.env.ACC_ADMIN_KEY) return res.status(401).json({error:'Unauthorized'}); next(); } app.use('/admin' adminAuth); Add ACC_ADMIN_KEY to .env. | Verify: curl /admin/dlq returns 401",ACC v2,P0,Aider
[ACC][D-1] Create Supabase tables,Open,Urgent,Shayan,2026-05-25,"File: tasks/supabase-setup.sql — run this NOW. Go to supabase.com → SQL Editor → paste file → Run. Then add SUPABASE_SERVICE_ROLE_KEY to .env. All 249 tasks are in RAM and will be lost on restart without this. | Verify: tables acc_tasks acc_results acc_users exist in Supabase",ACC v2,P1,Shayan
[ACC][D-2] Wire Task Bus store to Supabase read+write,Open,Urgent,Shayan,2026-05-26,"File: cloud/taskbus/store.js | After D-1: verify createTask() and addResult() write to Supabase. If not: after memory write add supabase.from('acc_tasks').insert({...}) On startup load from Supabase. | Verify: Create task → restart PM2 → task still visible",ACC v2,P1,OpenHands
[ACC][D-3] Add persistent user profiles to Supabase,Open,High,Shayan,2026-05-26,"Add acc_users table to Supabase SQL. Wire users.js to read/write it. Fields: user_id name language telegram_chat_id resume_file job_role job_location. | Verify: Set language to fa → restart server → still fa",ACC v2,P1,OpenHands
[ACC][I-1] Fix Alibaba/Qwen API key — get DashScope key,Open,Urgent,Shayan,2026-05-25,"Current ALIBABA_API_KEY is a general cloud key. Need DashScope key: 1. Go to dashscope.aliyuncs.com 2. Login with Alibaba account 3. API Keys → Create — starts with sk- 4. Update .env ALIBABA_API_KEY 5. pm2 restart all --update-env | Test: send 'qwen: what is 2+2' → real response not SmartStub",ACC v2,P1,Shayan
[ACC][I-2] Fix image generation with real DashScope key,Open,Urgent,Shayan,2026-05-27,"After I-1 (Alibaba key fixed): test 'image: a futuristic AI command center dark neon theme' in Telegram. Should return real image URL from Wanx API. If model name issue check /v1/models list. | Verify: Bot sends actual image not text analysis",ACC v2,P1,Shayan
[ACC][I-3] Connect Composio tools at app.composio.dev,Open,High,Shayan,2026-05-27,"Go to app.composio.dev → connect: Gmail Slack GitHub Google Calendar Notion. For each: click Connect → OAuth. Then test: 'composio: send email to test@test.com subject: Hello body: Testing' | Verify: Composio dashboard shows connected. Email sends.",ACC v2,P1,Shayan
[ACC][I-4] Install Playwright for job search/apply,Open,High,Shayan,2026-05-27,"Run: cd C:\Users\Shaya\agent-command-center && npx playwright install chromium. Then test: 'job search: product manager in Toronto' → should return real Indeed results not DeepSeek simulation. | Verify: Real job listings returned",ACC v2,P1,Shayan
